mlog_loss,mstd,params
-0.8340139042190886,0.033282781060921404,"{'criterion': 'entropy', 'max_features': 0.3956261738721387, 'min_samples_split': 2, 'n_estimators': 1970.334162428381}"
-0.8340142848564315,0.03324185567898002,"{'criterion': 'entropy', 'max_features': 0.36078680720867634, 'min_samples_split': 2, 'n_estimators': 1973.7913095754204}"
-0.8340180219286012,0.03313569304513046,"{'criterion': 'entropy', 'max_features': 0.3760720155246221, 'min_samples_split': 2, 'n_estimators': 2065.8228679657345}"
-0.8340451702020698,0.033024978905453216,"{'criterion': 'entropy', 'max_features': 0.31317070123712903, 'min_samples_split': 2, 'n_estimators': 1869.4711996276174}"
-0.8340490717249044,0.03322021875012075,"{'criterion': 'entropy', 'max_features': 0.36463836834143365, 'min_samples_split': 2, 'n_estimators': 1921.9739073972858}"
-0.8340515481603474,0.03320908288643737,"{'criterion': 'entropy', 'max_features': 0.3641421646569216, 'min_samples_split': 2, 'n_estimators': 1972.7207411780055}"
-0.8340557760484685,0.03308341675056873,"{'criterion': 'entropy', 'max_features': 0.37137496561309685, 'min_samples_split': 2, 'n_estimators': 2059.862422754439}"
-0.8340633214390071,0.03325129381187747,"{'criterion': 'entropy', 'max_features': 0.3268130835249097, 'min_samples_split': 2, 'n_estimators': 1977.481038474086}"
-0.8340633214390071,0.03325129381187747,"{'criterion': 'entropy', 'max_features': 0.36834766675830316, 'min_samples_split': 2, 'n_estimators': 1976.9060607679585}"
-0.8340781477001037,0.033261251339372286,"{'criterion': 'entropy', 'max_features': 0.3106579342626161, 'min_samples_split': 2, 'n_estimators': 1983.9372158954418}"
-0.8341007269030127,0.03315212832350426,"{'criterion': 'entropy', 'max_features': 0.38076544074922164, 'min_samples_split': 2, 'n_estimators': 1916.697305242406}"
-0.8341007269030127,0.03315212832350426,"{'criterion': 'entropy', 'max_features': 0.32029329815930613, 'min_samples_split': 2, 'n_estimators': 1916.6572427622534}"
-0.834109840337154,0.033066431428003716,"{'criterion': 'entropy', 'max_features': 0.35528620669962757, 'min_samples_split': 2, 'n_estimators': 1875.483734518104}"
-0.8341146140934903,0.03322382519703213,"{'criterion': 'entropy', 'max_features': 0.300140349743273, 'min_samples_split': 2, 'n_estimators': 2073.760386167333}"
-0.8341158889270431,0.033226620342495176,"{'criterion': 'entropy', 'max_features': 0.3588966388673968, 'min_samples_split': 2, 'n_estimators': 1965.0619839415103}"
-0.8341227597175437,0.03311731256701751,"{'criterion': 'entropy', 'max_features': 0.33081277736179776, 'min_samples_split': 2, 'n_estimators': 1915.0669741805636}"
-0.8341255094506529,0.033206654414366175,"{'criterion': 'entropy', 'max_features': 0.38739906174329863, 'min_samples_split': 2, 'n_estimators': 1963.6028443129396}"
-0.8341319115923657,0.0331411414249386,"{'criterion': 'entropy', 'max_features': 0.3713148091562472, 'min_samples_split': 2, 'n_estimators': 2010.9133537471027}"
-0.8341330607938446,0.03301466540900751,"{'criterion': 'entropy', 'max_features': 0.3694282008609865, 'min_samples_split': 2, 'n_estimators': 1865.4779563712773}"
-0.834133524628809,0.03251364063824425,"{'criterion': 'entropy', 'max_features': 0.3149436453696313, 'min_samples_split': 2, 'n_estimators': 3348.862191608164}"
-0.8341353499250698,0.03317191511199633,"{'criterion': 'entropy', 'max_features': 0.3907146503549357, 'min_samples_split': 2, 'n_estimators': 1993.7583667052934}"
-0.8341514586780633,0.03317738442478493,"{'criterion': 'entropy', 'max_features': 0.3000499431183751, 'min_samples_split': 2, 'n_estimators': 1954.7264310051191}"
-0.8341541232279884,0.033163972408323424,"{'criterion': 'entropy', 'max_features': 0.3918032983521778, 'min_samples_split': 2, 'n_estimators': 2047.8302816317844}"
-0.8341541278721296,0.033137941921143874,"{'criterion': 'entropy', 'max_features': 0.382142482480756, 'min_samples_split': 2, 'n_estimators': 1961.4046116936229}"
-0.8341585295099677,0.03319678240743111,"{'criterion': 'entropy', 'max_features': 0.3791383660875426, 'min_samples_split': 2, 'n_estimators': 1992.8518591897287}"
-0.8341642379670621,0.0324698475257547,"{'criterion': 'entropy', 'max_features': 0.38805862081838327, 'min_samples_split': 2, 'n_estimators': 1629.3725563244775}"
-0.834167632031107,0.0331601084073355,"{'criterion': 'entropy', 'max_features': 0.39410309276295064, 'min_samples_split': 2, 'n_estimators': 2050.839058020221}"
-0.8341688718098871,0.03315613307284611,"{'criterion': 'entropy', 'max_features': 0.37709109053941225, 'min_samples_split': 2, 'n_estimators': 1960.2538278598931}"
-0.8341708332247407,0.03315475809322195,"{'criterion': 'entropy', 'max_features': 0.35233552118388933, 'min_samples_split': 2, 'n_estimators': 2053.3957701975205}"
-0.8341835511943708,0.03237321808573058,"{'criterion': 'entropy', 'max_features': 0.37423871269877207, 'min_samples_split': 2, 'n_estimators': 1619.3101586637079}"
-0.834184731592965,0.03322953748328208,"{'criterion': 'entropy', 'max_features': 0.30229870656750657, 'min_samples_split': 2, 'n_estimators': 2078.2866135883273}"
-0.834184731592965,0.03322953748328208,"{'criterion': 'entropy', 'max_features': 0.35409393042591997, 'min_samples_split': 2, 'n_estimators': 2078.00506637235}"
-0.8341884853166222,0.033142050751746206,"{'criterion': 'entropy', 'max_features': 0.30504488757848713, 'min_samples_split': 2, 'n_estimators': 1956.9153892780823}"
-0.8341971479778457,0.033245192385801335,"{'criterion': 'entropy', 'max_features': 0.3009011196897013, 'min_samples_split': 2, 'n_estimators': 2026.3920475566547}"
-0.8341972364296164,0.03321847956215039,"{'criterion': 'entropy', 'max_features': 0.3233323835725449, 'min_samples_split': 2, 'n_estimators': 2024.9306649367645}"
