accuracy,std,max_accuracy,min_accuracy,params
0.6709568598934954,0.007452131978341035,0.6788571428571428,0.6590126291618829,"{'subsample': 0.6821967046313627, 'eta': 0.0395588904409345, 'max_depth': 15, 'reg_lambda': 0.9886640061335248, 'gamma': 0.8221293315662161, 'min_child_weight': 2.111162414954887, 'n_estimators': 771.9516458323172}"
0.6706960849297218,0.011140781520803224,0.6854190585533869,0.6582857142857143,"{'subsample': 0.8991952366502718, 'eta': 0.05763185571433849, 'max_depth': 6, 'reg_lambda': 0.8511086151977842, 'gamma': 0.03901815394852215, 'min_child_weight': 1.560172142194462, 'n_estimators': 1511.4666579273994}"
0.6686905027739616,0.019851294514649367,0.7014925373134329,0.6521239954075775,"{'subsample': 0.9967078736583658, 'eta': 0.19311868774401983, 'max_depth': 10, 'reg_lambda': 0.749421175172111, 'gamma': 0.1649163303817236, 'min_child_weight': 1.929058524663953, 'n_estimators': 381.1951845657139}"
0.6675387854306449,0.006718566742492823,0.6727898966704937,0.656,"{'subsample': 0.7411585578237526, 'eta': 0.251759396051074, 'max_depth': 14, 'reg_lambda': 0.6570578619372939, 'gamma': 0.8562521585262641, 'min_child_weight': 1.426824758982506, 'n_estimators': 709.1140291279221}"
0.6669614410305564,0.018152762616545182,0.6865671641791045,0.642939150401837,"{'subsample': 0.9308072120536508, 'eta': 0.12055399211754696, 'max_depth': 6, 'reg_lambda': 0.7365752830939317, 'gamma': 0.46277641092858635, 'min_child_weight': 2.2021408349238087, 'n_estimators': 314.1226821793112}"
0.665804479718556,0.009977700771327477,0.6811926605504587,0.653272101033295,"{'subsample': 0.892883427746155, 'eta': 0.4180122815537111, 'max_depth': 7, 'reg_lambda': 0.6856461201519681, 'gamma': 0.9934530177530464, 'min_child_weight': 2.254262381537413, 'n_estimators': 249.62949097115498}"
0.663246844214255,0.010788801797547255,0.6750861079219288,0.6457142857142857,"{'subsample': 0.9867906505291373, 'eta': 0.40118171801379854, 'max_depth': 9, 'reg_lambda': 0.7886921139321386, 'gamma': 0.43570107176535045, 'min_child_weight': 1.5876488619227969, 'n_estimators': 1165.6707269726942}"
0.6629493434129885,0.01534137902743055,0.6854190585533869,0.6422018348623854,"{'subsample': 0.9511121009014133, 'eta': 0.15542009066668963, 'max_depth': 12, 'reg_lambda': 0.6008066353600395, 'gamma': 0.6143461756979811, 'min_child_weight': 2.426300609425133, 'n_estimators': 647.9196303978357}"
0.661523053524594,0.00930111773677837,0.6739380022962113,0.6491428571428571,"{'subsample': 0.8921438370604988, 'eta': 0.35846482479666364, 'max_depth': 10, 'reg_lambda': 0.6597738464710017, 'gamma': 0.39217126584358075, 'min_child_weight': 2.9795162159237023, 'n_estimators': 656.8900189856947}"
0.6600741329394966,0.01697483141942647,0.6796785304247991,0.6337543053960965,"{'subsample': 0.8844966384839112, 'eta': 0.10401481669017179, 'max_depth': 5, 'reg_lambda': 0.8774325318011515, 'gamma': 0.32357476394768225, 'min_child_weight': 2.867117401274972, 'n_estimators': 1285.0464679464512}"
0.6598015534034636,0.008085182990619607,0.6681974741676234,0.6491428571428571,"{'subsample': 0.7225725801311942, 'eta': 0.3365223837155585, 'max_depth': 14, 'reg_lambda': 0.6274099567453802, 'gamma': 0.2845217196112776, 'min_child_weight': 1.5622123229605598, 'n_estimators': 1062.9691284507148}"
0.6589427918377665,0.017559959713224473,0.6750861079219288,0.6330275229357798,"{'subsample': 0.6251280696276537, 'eta': 0.28541347045300497, 'max_depth': 14, 'reg_lambda': 0.7766249375869938, 'gamma': 0.03343140668121003, 'min_child_weight': 2.142019935895303, 'n_estimators': 103.26263081886412}"
0.6580656289828205,0.008673515759963458,0.6647531572904707,0.643348623853211,"{'subsample': 0.8599128214618499, 'eta': 0.40624243473650945, 'max_depth': 5, 'reg_lambda': 0.7474663054685804, 'gamma': 0.6212159893397533, 'min_child_weight': 2.756924818729203, 'n_estimators': 1543.4300135325152}"
0.6517691021151928,0.013179344169196463,0.6659012629161883,0.6307339449541285,"{'subsample': 0.647656926543475, 'eta': 0.4949654565362604, 'max_depth': 4, 'reg_lambda': 0.862766771190068, 'gamma': 0.7855067777469334, 'min_child_weight': 2.6553046501534903, 'n_estimators': 1168.7534832990061}"
0.6517661396866861,0.007994151217950298,0.6636050516647531,0.6410550458715596,"{'subsample': 0.6249126815489855, 'eta': 0.37515883649559634, 'max_depth': 6, 'reg_lambda': 0.9361982898689734, 'gamma': 0.577343886656447, 'min_child_weight': 1.4596825539638556, 'n_estimators': 666.2649716333874}"
0.6514859985283784,0.007058468353316223,0.6601607347876005,0.6444954128440367,"{'subsample': 0.9017341883187082, 'eta': 0.3009759921081056, 'max_depth': 5, 'reg_lambda': 0.8579985862379259, 'gamma': 0.8371049631780726, 'min_child_weight': 2.3814350406803606, 'n_estimators': 175.6699947678764}"
