mlog_loss,mstd,params
-0.8945257705136729,0.009682205328047538,"{'criterion': 'entropy', 'max_features': 0.34808889858456293, 'min_samples_split': 2, 'n_estimators': 4400.796739664996}"
-0.8945652083803024,0.009707362174014801,"{'criterion': 'entropy', 'max_features': 0.33971727208620006, 'min_samples_split': 2, 'n_estimators': 4033.059837467761}"
-0.8945653362747956,0.009748230763892734,"{'criterion': 'entropy', 'max_features': 0.3429266960253762, 'min_samples_split': 2, 'n_estimators': 4816.8029583467705}"
-0.8945772213221496,0.009653726912610407,"{'criterion': 'entropy', 'max_features': 0.34497093840181337, 'min_samples_split': 2, 'n_estimators': 4396.043634028744}"
-0.8945997920708313,0.00971016731295871,"{'criterion': 'entropy', 'max_features': 0.3061907906380199, 'min_samples_split': 2, 'n_estimators': 4152.391629296503}"
-0.8946044720179411,0.009774166408927814,"{'criterion': 'entropy', 'max_features': 0.3000099017328471, 'min_samples_split': 2, 'n_estimators': 4137.068231289986}"
-0.8946065130217777,0.009712394662862979,"{'criterion': 'entropy', 'max_features': 0.3101010871997178, 'min_samples_split': 2, 'n_estimators': 4149.295057990445}"
-0.8946191879067426,0.00970714566045463,"{'criterion': 'entropy', 'max_features': 0.33686580682547435, 'min_samples_split': 2, 'n_estimators': 4115.345596374651}"
-0.8946459754289368,0.009813758869755407,"{'criterion': 'entropy', 'max_features': 0.3343120577677812, 'min_samples_split': 2, 'n_estimators': 3760.770055076484}"
-0.8946557500878229,0.009738585334986883,"{'criterion': 'entropy', 'max_features': 0.30838294452638193, 'min_samples_split': 2, 'n_estimators': 4261.89389749052}"
-0.8946842821184283,0.009617149403644361,"{'criterion': 'entropy', 'max_features': 0.302355418979546, 'min_samples_split': 2, 'n_estimators': 4711.911556743647}"
-0.8946964785999396,0.009699447061958919,"{'criterion': 'entropy', 'max_features': 0.362541314586321, 'min_samples_split': 2, 'n_estimators': 4079.129241529233}"
-0.8947081222883687,0.009683428017552403,"{'criterion': 'entropy', 'max_features': 0.302064077327833, 'min_samples_split': 2, 'n_estimators': 4973.215082424817}"
-0.8950062611912049,0.00969406859968698,"{'criterion': 'entropy', 'max_features': 0.3250769344476976, 'min_samples_split': 2, 'n_estimators': 3234.301974203003}"
-0.8957600406845498,0.010749112666115378,"{'criterion': 'entropy', 'max_features': 0.4213651996114771, 'min_samples_split': 2, 'n_estimators': 4000.9587871058343}"
-0.895794969702705,0.009960230191389582,"{'criterion': 'entropy', 'max_features': 0.31411326905483655, 'min_samples_split': 2, 'n_estimators': 1480.4833580871223}"
-0.8958089017303095,0.010798692822594696,"{'criterion': 'entropy', 'max_features': 0.4473372656350105, 'min_samples_split': 2, 'n_estimators': 4875.536247388883}"
-0.8958127711464673,0.01083986717386658,"{'criterion': 'entropy', 'max_features': 0.40767291223427365, 'min_samples_split': 2, 'n_estimators': 4742.249812123061}"
-0.895850054621983,0.010735250686017906,"{'criterion': 'entropy', 'max_features': 0.4282966967293871, 'min_samples_split': 2, 'n_estimators': 4597.526621232813}"
-0.8958625885429916,0.010755773367872848,"{'criterion': 'entropy', 'max_features': 0.39682756036822, 'min_samples_split': 2, 'n_estimators': 4537.064299264026}"
-0.8958827825751914,0.010868061543908184,"{'criterion': 'entropy', 'max_features': 0.4267432396534982, 'min_samples_split': 2, 'n_estimators': 4420.538410615286}"
-0.8958946465968245,0.010808372030090269,"{'criterion': 'entropy', 'max_features': 0.37462343103522244, 'min_samples_split': 2, 'n_estimators': 4451.734916359394}"
-0.8959156324718542,0.010774882230529092,"{'criterion': 'entropy', 'max_features': 0.42218035136200227, 'min_samples_split': 2, 'n_estimators': 4786.666274109693}"
-0.8959435578843118,0.010797720442761357,"{'criterion': 'entropy', 'max_features': 0.3806643376755128, 'min_samples_split': 2, 'n_estimators': 3912.0166730891005}"
-0.8959779539058269,0.010782752707756409,"{'criterion': 'entropy', 'max_features': 0.37972223132951755, 'min_samples_split': 2, 'n_estimators': 3931.9739760531634}"
-0.8959801665889986,0.010749280898960897,"{'criterion': 'entropy', 'max_features': 0.3675638343575465, 'min_samples_split': 2, 'n_estimators': 4286.640513112679}"
-0.8964508727924017,0.011028691881089233,"{'criterion': 'entropy', 'max_features': 0.4090628753228988, 'min_samples_split': 2, 'n_estimators': 3089.046116270889}"
-0.8974108210498317,0.010355287995126902,"{'criterion': 'entropy', 'max_features': 0.46610317984425514, 'min_samples_split': 2, 'n_estimators': 4672.2315199403565}"
-0.8974514988056341,0.01041661064873761,"{'criterion': 'entropy', 'max_features': 0.5306654883002377, 'min_samples_split': 2, 'n_estimators': 4256.69543237053}"
-0.897632659497174,0.010385567847256713,"{'criterion': 'entropy', 'max_features': 0.5380562290145136, 'min_samples_split': 2, 'n_estimators': 4953.581344690016}"
-0.8982734612265666,0.008498373740845933,"{'criterion': 'entropy', 'max_features': 0.32292871718739347, 'min_samples_split': 3, 'n_estimators': 2191.3979305641587}"
-0.8984086096190506,0.011472735222377661,"{'criterion': 'gini', 'max_features': 0.35300501725651734, 'min_samples_split': 2, 'n_estimators': 4987.476609294275}"
-0.8988431184368111,0.009604457478267978,"{'criterion': 'entropy', 'max_features': 0.38377537606156215, 'min_samples_split': 3, 'n_estimators': 4870.441011034885}"
-0.898864651928329,0.009572944720218387,"{'criterion': 'entropy', 'max_features': 0.43966472554143976, 'min_samples_split': 3, 'n_estimators': 4726.777471852889}"
-0.8989477796775658,0.010926764679322106,"{'criterion': 'gini', 'max_features': 0.3212780414418369, 'min_samples_split': 2, 'n_estimators': 2987.8931789266735}"
