accuracy,std,params
0.5124685540122002,0.008437988455952448,"{'colsample_bytree': 0.506995501841981, 'eta': 0.4889203252563823, 'gamma': 0.4624443530950917, 'max_depth': 14, 'min_child_weight': 1.230877968719219, 'n_estimators': 1540.677577107036, 'reg_lambda': 0.8454705360823268, 'subsample': 0.5842212729970713}"
0.51475341549596,0.008887255870229399,"{'colsample_bytree': 0.9298465115799799, 'eta': 0.4806594871372349, 'gamma': 0.42984342742604853, 'max_depth': 7, 'min_child_weight': 1.5599901730303085, 'n_estimators': 1100.1795238728605, 'reg_lambda': 0.9642795768969157, 'subsample': 0.717201224528011}"
0.5193437686766649,0.018690835321614897,"{'colsample_bytree': 0.7054983319089027, 'eta': 0.4783179774618368, 'gamma': 0.21904638085140957, 'max_depth': 7, 'min_child_weight': 1.4121584172429171, 'n_estimators': 1173.3102959344496, 'reg_lambda': 0.6532485978763338, 'subsample': 0.6378946429226613}"
0.5219212989588297,0.00713993145045697,"{'colsample_bytree': 0.5455513835073802, 'eta': 0.47146058153679127, 'gamma': 0.326528970835432, 'max_depth': 11, 'min_child_weight': 1.474985967720867, 'n_estimators': 424.7476832970548, 'reg_lambda': 0.8316626484575643, 'subsample': 0.6773475159863256}"
0.5219372517252592,0.017749882324528468,"{'colsample_bytree': 0.6207766621393076, 'eta': 0.43453065437341054, 'gamma': 0.428228901496565, 'max_depth': 4, 'min_child_weight': 1.4248577058349534, 'n_estimators': 707.0180491591784, 'reg_lambda': 0.677658439886439, 'subsample': 0.6041511294897072}"
0.5230703167157345,0.015934480992010266,"{'colsample_bytree': 0.7295045535613149, 'eta': 0.44540250169298934, 'gamma': 0.36406779314793525, 'max_depth': 9, 'min_child_weight': 1.2069233686285374, 'n_estimators': 928.1645561944788, 'reg_lambda': 0.79087493957414, 'subsample': 0.6689687133868235}"
0.523331800962943,0.014580216892749288,"{'colsample_bytree': 0.5008369746427221, 'eta': 0.28018439099044007, 'gamma': 0.22359961701966963, 'max_depth': 10, 'min_child_weight': 1.8087936092359662, 'n_estimators': 144.02333578816913, 'reg_lambda': 0.7487129151866511, 'subsample': 0.5308846991677741}"
0.5276564765220385,0.002836932942307892,"{'colsample_bytree': 0.5906832528481848, 'eta': 0.3579312776908744, 'gamma': 0.1222764675215654, 'max_depth': 5, 'min_child_weight': 1.4815880153443366, 'n_estimators': 341.40020182984046, 'reg_lambda': 0.7698121067365254, 'subsample': 0.649063245348219}"
0.5299442651210102,0.007298416518015767,"{'colsample_bytree': 0.9646102575837493, 'eta': 0.3799273742011956, 'gamma': 0.5062279160092913, 'max_depth': 8, 'min_child_weight': 1.8304247512335334, 'n_estimators': 409.32047650056046, 'reg_lambda': 0.8876711710416348, 'subsample': 0.851928924740544}"
0.5311076124483691,0.027067729634804107,"{'colsample_bytree': 0.7926283769582307, 'eta': 0.1649775394466836, 'gamma': 0.19624875090285532, 'max_depth': 12, 'min_child_weight': 1.669571769629182, 'n_estimators': 712.2173500918952, 'reg_lambda': 0.7194450748545758, 'subsample': 0.4348094413517609}"
