mlog_loss,mstd,accuracy,params
0.9394893999999999,0.1579099468645934,0.3777452,"{'colsample_bytree': 0.43114020946150955, 'eta': 0.023813820728572094, 'gamma': 0.06743818470803335, 'max_depth': 13, 'min_child_weight': 1.180656066584857, 'n_estimators': 2390.730280750975, 'reg_lambda': 0.7961683237926219, 'subsample': 0.9018892071028124}"
0.9394024,0.16133598749088077,0.37831999999999993,"{'colsample_bytree': 0.4158625310198368, 'eta': 0.01794624674255731, 'gamma': 0.22699426434390735, 'max_depth': 16, 'min_child_weight': 1.0219637794417806, 'n_estimators': 2834.042990582325, 'reg_lambda': 0.6608233605220036, 'subsample': 0.9043406541874458}"
0.9386618,0.1581565663112341,0.37976160000000003,"{'colsample_bytree': 0.4486427395827119, 'eta': 0.014612265528231751, 'gamma': 0.21415474960979275, 'max_depth': 11, 'min_child_weight': 1.0407577105704484, 'n_estimators': 3291.863524150556, 'reg_lambda': 0.6712982944186666, 'subsample': 0.9791476344506486}"
0.9384404,0.15957308463562037,0.37918480000000004,"{'colsample_bytree': 0.4264515248271588, 'eta': 0.018488953839673774, 'gamma': 0.013920029682664259, 'max_depth': 13, 'min_child_weight': 1.1970548776379633, 'n_estimators': 2643.580373901127, 'reg_lambda': 0.7638002375631859, 'subsample': 0.9082279834523326}"
0.9383212000000001,0.16291744288493473,0.3725954,"{'colsample_bytree': 0.5811673768841298, 'eta': 0.0262527865004362, 'gamma': 0.20624269132470718, 'max_depth': 15, 'min_child_weight': 1.1998248278144945, 'n_estimators': 1116.3383171543007, 'reg_lambda': 0.6504832085335938, 'subsample': 0.9342693644350302}"
0.9381804,0.1609596554364984,0.3780504,"{'colsample_bytree': 0.4193351315390648, 'eta': 0.02182011021850155, 'gamma': 0.08508478613688811, 'max_depth': 16, 'min_child_weight': 1.1725084941862085, 'n_estimators': 3169.609845829203, 'reg_lambda': 0.7383655097324248, 'subsample': 0.9662836338533899}"
0.9381565999999999,0.16777097641569616,0.375743,"{'colsample_bytree': 0.40064154010970104, 'eta': 0.0015273701635850209, 'gamma': 0.11198210488443672, 'max_depth': 16, 'min_child_weight': 1.1488388084994967, 'n_estimators': 2126.270942883004, 'reg_lambda': 0.6151790109163249, 'subsample': 0.9879767742563725}"
0.9381382,0.16189688955200754,0.37861059999999996,"{'colsample_bytree': 0.4397197762445511, 'eta': 0.019764984705708907, 'gamma': 0.06484434782266466, 'max_depth': 14, 'min_child_weight': 1.1417743597056382, 'n_estimators': 2932.6149131703846, 'reg_lambda': 0.7694670719496044, 'subsample': 0.9741105483611785}"
0.9381104,0.1635890325257439,0.3797584,"{'colsample_bytree': 0.5817198008072938, 'eta': 0.02244030608405425, 'gamma': 0.08460294806856683, 'max_depth': 15, 'min_child_weight': 1.174477659212266, 'n_estimators': 3495.287568763991, 'reg_lambda': 0.6925961770449255, 'subsample': 0.956586292992004}"
0.9378191999999999,0.1635114857965166,0.3748786,"{'colsample_bytree': 0.5097216463736218, 'eta': 0.028818023588622486, 'gamma': 0.060712821752652475, 'max_depth': 16, 'min_child_weight': 1.1506123230335876, 'n_estimators': 2326.992700409948, 'reg_lambda': 0.7276021298290833, 'subsample': 0.9921683370310581}"
0.9375906,0.15603595728147157,0.38175919999999997,"{'colsample_bytree': 0.52608230976009, 'eta': 0.027294526333043807, 'gamma': 0.42328179318323644, 'max_depth': 13, 'min_child_weight': 1.17011859966317, 'n_estimators': 2703.820806935387, 'reg_lambda': 0.7525134605210443, 'subsample': 0.9355329415145843}"
0.937369,0.16206215384294315,0.37745759999999995,"{'colsample_bytree': 0.44662463258826907, 'eta': 0.013527235105338722, 'gamma': 0.02189538475731532, 'max_depth': 14, 'min_child_weight': 1.1657998875574143, 'n_estimators': 2668.4057129045614, 'reg_lambda': 0.7711598666341946, 'subsample': 0.9584043352283689}"
