accuracy,std,max_accuracy,min_accuracy,params
0.5867056587462928,0.009377940138616462,0.5997706422018348,0.5763490241102182,"{'eta': 0.014240165437387126, 'gamma': 0.5138051599601989, 'max_depth': 5, 'min_child_weight': 1.9879469711784352, 'n_estimators': 906.678709057901, 'reg_lambda': 0.8829792101942544, 'subsample': 0.659926731418526}"
0.5806978131070628,0.010136003101552025,0.5924225028702641,0.5691428571428572,"{'eta': 0.032395244415162526, 'gamma': 0.43085347393596957, 'max_depth': 9, 'min_child_weight': 2.1707083902365865, 'n_estimators': 1154.1411029182648, 'reg_lambda': 0.8095736547960729, 'subsample': 0.7095196283207489}"
0.5795345932651492,0.010474709501336254,0.5974770642201835,0.5717566016073479,"{'eta': 0.006245912705216053, 'gamma': 0.5574750307147125, 'max_depth': 10, 'min_child_weight': 1.9982274858219835, 'n_estimators': 1341.3644882815775, 'reg_lambda': 0.815325671485557, 'subsample': 0.8325036547266274}"
0.579239716705313,0.007064658822950429,0.5885714285714285,0.5706084959816303,"{'eta': 0.013914822179206705, 'gamma': 0.8756409044455573, 'max_depth': 5, 'min_child_weight': 2.371090962396738, 'n_estimators': 1152.9788353904726, 'reg_lambda': 0.8576902128582781, 'subsample': 0.8006126432078938}"
0.5786676478731456,0.013565580552250909,0.5912743972445464,0.5584862385321101,"{'eta': 0.020081586338935548, 'gamma': 0.5131316994006321, 'max_depth': 10, 'min_child_weight': 2.01201692350523, 'n_estimators': 1048.5879672526617, 'reg_lambda': 0.8318541165672052, 'subsample': 0.6737287156013334}"
0.5786604199237706,0.009413166416387661,0.5942857142857143,0.569954128440367,"{'eta': 0.06225049765321266, 'gamma': 0.9626783838619668, 'max_depth': 14, 'min_child_weight': 2.0697745475826084, 'n_estimators': 1461.331632552102, 'reg_lambda': 0.8343152556842488, 'subsample': 0.8582771921797142}"
0.5783825693339935,0.00888801103597213,0.5866819747416763,0.563719862227325,"{'eta': 0.07404868026343019, 'gamma': 0.5942614798749403, 'max_depth': 9, 'min_child_weight': 2.3936640597786005, 'n_estimators': 716.4055779730458, 'reg_lambda': 0.877669650225047, 'subsample': 0.9080318339929732}"
0.5783770007207636,0.007977014478373656,0.5908571428571429,0.5711009174311926,"{'eta': 0.005675440681322455, 'gamma': 0.6009045906207783, 'max_depth': 9, 'min_child_weight': 2.053616987076797, 'n_estimators': 960.3486159598876, 'reg_lambda': 0.8494916141364787, 'subsample': 0.750012600778064}"
0.5783664947266892,0.012453684758723164,0.5977142857142858,0.5648679678530425,"{'eta': 0.01813071923089203, 'gamma': 0.5438620551199731, 'max_depth': 12, 'min_child_weight': 2.778329972931219, 'n_estimators': 873.5378617398261, 'reg_lambda': 0.7119627848145585, 'subsample': 0.7350982734212084}"
0.5781092998812771,0.01819952870493911,0.5997706422018348,0.5545350172215844,"{'eta': 0.08049726193467713, 'gamma': 0.8563149389121292, 'max_depth': 5, 'min_child_weight': 2.503413562708514, 'n_estimators': 1278.4314034638192, 'reg_lambda': 0.7557810471006298, 'subsample': 0.833268057478557}"
