log_loss,accuracy,std,max_accuracy,min_accuracy,params
1.3907676649683072,0.5546030009016338,0.05807727251046827,1.4804290130590587,1.3304659395730956,"{'colsample_bytree': 0.8784690803065545, 'n_estimators': 1581.1008012773934, 'subsample': 0.6343431648803056, 'gamma': 0.007506226995775689, 'reg_lambda': 0.8340187017325225, 'eta': 0.08012888523654786, 'max_depth': 8, 'min_child_weight': 1.2822354148470332}"
1.3632543693046928,0.5657721224545978,0.06885815699610708,1.4540614963734122,1.2665934202191185,"{'colsample_bytree': 0.7995499752875219, 'n_estimators': 899.4696405157817, 'subsample': 0.8326312676314668, 'gamma': 0.005413313756360838, 'reg_lambda': 0.8511528362961047, 'eta': 0.17242998197461817, 'max_depth': 15, 'min_child_weight': 1.0635549228411092}"
1.3108592506500787,0.550013493435045,0.06051271536882855,1.3892024027553889,1.2296408569633048,"{'colsample_bytree': 0.7474334289097371, 'n_estimators': 889.8991101755875, 'subsample': 0.5441279781321832, 'gamma': 0.03217455546396253, 'reg_lambda': 0.8177333107847118, 'eta': 0.11798635655200965, 'max_depth': 4, 'min_child_weight': 1.8660243271362291}"
1.2960663578701843,0.5614830828521653,0.039880518678903014,1.3695261505755785,1.2587831228139479,"{'colsample_bytree': 0.7075877749364083, 'n_estimators': 1478.9505291507414, 'subsample': 0.608925558681028, 'gamma': 0.08903887553115031, 'reg_lambda': 0.8112291777016817, 'eta': 0.08804862302884164, 'max_depth': 4, 'min_child_weight': 1.683910784824504}"
1.2698237749715926,0.5611941056362105,0.0407885849879607,1.32828410406983,1.202659260607114,"{'colsample_bytree': 0.9418773829146128, 'n_estimators': 1319.8040707155196, 'subsample': 0.6907889447530928, 'gamma': 0.0827816341873866, 'reg_lambda': 0.9088386140675155, 'eta': 0.19263541685271784, 'max_depth': 8, 'min_child_weight': 1.8553330756230721}"
1.239463751818343,0.5549043169235228,0.03966084448685804,1.309805095636414,1.1916204751163146,"{'colsample_bytree': 0.7842138767655811, 'n_estimators': 960.5689589120194, 'subsample': 0.46812320206664226, 'gamma': 0.06359410160511886, 'reg_lambda': 0.6703541737636587, 'eta': 0.05867008814670042, 'max_depth': 11, 'min_child_weight': 1.4866077661716677}"
1.2332198813098332,0.5554757078146529,0.041886950889637856,1.2976216702567347,1.1656693380831722,"{'colsample_bytree': 0.7898552596529945, 'n_estimators': 1542.1672722136814, 'subsample': 0.5745441445466157, 'gamma': 0.012216173659002794, 'reg_lambda': 0.7748215576904542, 'eta': 0.05538517541140966, 'max_depth': 4, 'min_child_weight': 1.6279762094277106}"
1.2226571303436096,0.5637564830583756,0.012557669192144507,1.246959709985284,1.2106910864524838,"{'colsample_bytree': 0.6482445314680434, 'n_estimators': 1598.9882888477457, 'subsample': 0.8745967144220511, 'gamma': 0.17156748075203926, 'reg_lambda': 0.8388852840214825, 'eta': 0.1232526435315422, 'max_depth': 4, 'min_child_weight': 1.8483675338972816}"
1.216874085658699,0.5497561661037472,0.04236483974951768,1.2621249267651833,1.1428653295427873,"{'colsample_bytree': 0.6730911638016873, 'n_estimators': 1312.0613462621427, 'subsample': 0.6569320607722412, 'gamma': 0.449538647486325, 'reg_lambda': 0.7694507926059097, 'eta': 0.19935593303629995, 'max_depth': 4, 'min_child_weight': 1.8401111580435023}"
1.1951012818735118,0.5640442010624778,0.028793974155328993,1.230746798191538,1.1515366729761856,"{'colsample_bytree': 0.596600094333605, 'n_estimators': 538.3197412940472, 'subsample': 0.7994226974467402, 'gamma': 0.0667440137006029, 'reg_lambda': 0.6780289300055508, 'eta': 0.1015157245988467, 'max_depth': 9, 'min_child_weight': 1.571814953425537}"
1.1903271744167128,0.5583209912332417,0.02465804384930066,1.2123143621926595,1.1497027064903098,"{'colsample_bytree': 0.8693047429735853, 'n_estimators': 1596.244295159002, 'subsample': 0.5925585725939617, 'gamma': 0.22224394550475696, 'reg_lambda': 0.7194386598801886, 'eta': 0.17047280844574852, 'max_depth': 13, 'min_child_weight': 1.6268125784204475}"
1.1881258595010515,0.5557150328331958,0.04140042775593183,1.2327034534135284,1.1206098100861646,"{'colsample_bytree': 0.7651019702054858, 'n_estimators': 1414.2436292632922, 'subsample': 0.6903754935803168, 'gamma': 0.418816603514266, 'reg_lambda': 0.674589930709734, 'eta': 0.1486085711884193, 'max_depth': 4, 'min_child_weight': 1.79542695732014}"
1.1866804665809059,0.5675032101325954,0.021327406144515865,1.2282924097879286,1.1712830483464463,"{'colsample_bytree': 0.5521293209912669, 'n_estimators': 1329.12219990664, 'subsample': 0.5662660146276606, 'gamma': 0.05087636036075116, 'reg_lambda': 0.894341481085432, 'eta': 0.04773479349898715, 'max_depth': 14, 'min_child_weight': 1.1289632806773773}"
1.1817381575859418,0.546568915122711,0.04731328337317182,1.2623768980238832,1.1160406867687562,"{'colsample_bytree': 0.7884477997667032, 'n_estimators': 1386.3543054525605, 'subsample': 0.4014708954533119, 'gamma': 0.6363034987403919, 'reg_lambda': 0.7044333142575914, 'eta': 0.16430601563142694, 'max_depth': 8, 'min_child_weight': 1.402803143633901}"
1.1815673742795407,0.5488771797912607,0.054970864955544346,1.2652385113681002,1.1043241409358722,"{'colsample_bytree': 0.6353945715607509, 'n_estimators': 428.87482131391505, 'subsample': 0.5373199362191107, 'gamma': 0.47598740812434803, 'reg_lambda': 0.6939240542717211, 'eta': 0.18658406168816216, 'max_depth': 6, 'min_child_weight': 1.9441938727999735}"
