accuracy,std,params
0.5479827541351006,0.013778392401823198,"{'colsample_bytree': 0.6960321176388553, 'eta': 0.22235328257209622, 'gamma': 0.572602123941589, 'max_depth': 6, 'min_child_weight': 1.5265448888702637, 'n_estimators': 104.08889067143097, 'reg_lambda': 0.5827205044103937, 'subsample': 0.8385497380465312}"
0.548300476302059,0.014907802721086771,"{'colsample_bytree': 0.5455645537446313, 'eta': 0.16611024766101173, 'gamma': 0.29347453000844154, 'max_depth': 5, 'min_child_weight': 1.271085631968996, 'n_estimators': 1196.938444179335, 'reg_lambda': 0.7812101099889617, 'subsample': 0.8377816397710567}"
0.5488702781943458,0.007954833871378176,"{'colsample_bytree': 0.6004473429365054, 'eta': 0.12602881456989062, 'gamma': 0.06565776956021116, 'max_depth': 7, 'min_child_weight': 1.2218279579845306, 'n_estimators': 1396.4251846686332, 'reg_lambda': 0.7846357638326961, 'subsample': 0.707606444903374}"
0.5491629587855636,0.01211017055474333,"{'colsample_bytree': 0.7270808691314145, 'eta': 0.40773215077929226, 'gamma': 0.04281983835518567, 'max_depth': 7, 'min_child_weight': 1.4411974685579616, 'n_estimators': 870.8587210313733, 'reg_lambda': 0.8786013489313778, 'subsample': 0.8768615663071856}"
0.5491687247015221,0.020751080308979278,"{'colsample_bytree': 0.5898639350265636, 'eta': 0.4331788359801065, 'gamma': 0.12680953100970455, 'max_depth': 12, 'min_child_weight': 1.5229604310822704, 'n_estimators': 137.4506681399423, 'reg_lambda': 0.8263974736621036, 'subsample': 0.6999873761020408}"
0.5494269201715065,0.011397957965943974,"{'colsample_bytree': 0.9632215759466406, 'eta': 0.3769208759631689, 'gamma': 0.5078894185119408, 'max_depth': 6, 'min_child_weight': 1.408429286403212, 'n_estimators': 689.3430620068176, 'reg_lambda': 0.5523097504368075, 'subsample': 0.7228211344531315}"
0.5497220414834706,0.011706151357610406,"{'colsample_bytree': 0.773122594613814, 'eta': 0.20385349283675766, 'gamma': 0.4172276449203991, 'max_depth': 4, 'min_child_weight': 1.710121484600607, 'n_estimators': 1322.8374558690325, 'reg_lambda': 0.725081199389639, 'subsample': 0.7945957227360558}"
0.5497315755440335,0.021880813838364415,"{'colsample_bytree': 0.9211375865620657, 'eta': 0.3769746336418955, 'gamma': 0.2522800417262566, 'max_depth': 12, 'min_child_weight': 1.7322621501136708, 'n_estimators': 159.10677824757988, 'reg_lambda': 0.6484957276432666, 'subsample': 0.6639736949113424}"
0.5500053409764262,0.011358188712683645,"{'colsample_bytree': 0.503686742562929, 'eta': 0.46917806979477106, 'gamma': 0.13487502180914382, 'max_depth': 11, 'min_child_weight': 1.492930587645368, 'n_estimators': 625.5454707852405, 'reg_lambda': 0.7189029257558226, 'subsample': 0.7904801118821351}"
0.5500278748614741,0.01603511087663376,"{'colsample_bytree': 0.7204576852099638, 'eta': 0.2875343695098074, 'gamma': 0.45285141384623984, 'max_depth': 11, 'min_child_weight': 1.5627507813325074, 'n_estimators': 1164.2317802454331, 'reg_lambda': 0.6711456402126582, 'subsample': 0.6956847424522132}"
0.5506071589380979,0.015360803698034688,"{'colsample_bytree': 0.6529150934177084, 'eta': 0.16823054202518, 'gamma': 0.2733014309671583, 'max_depth': 4, 'min_child_weight': 1.294748790727658, 'n_estimators': 1040.1634255426147, 'reg_lambda': 0.7405716826841905, 'subsample': 0.4318976269939883}"
0.550869445373345,0.010126850425220418,"{'colsample_bytree': 0.7848116884127007, 'eta': 0.4426806449163844, 'gamma': 0.3076849787029435, 'max_depth': 8, 'min_child_weight': 1.2299633749435925, 'n_estimators': 1385.844424529738, 'reg_lambda': 0.7764772019488057, 'subsample': 0.7436714943269591}"
0.5514535944544268,0.0050011430593202184,"{'colsample_bytree': 0.5716047333424611, 'eta': 0.408178091231358, 'gamma': 0.07065235519345041, 'max_depth': 8, 'min_child_weight': 1.84076807348565, 'n_estimators': 966.3814476742389, 'reg_lambda': 0.822038619527163, 'subsample': 0.8753291173778663}"
0.5520114415058559,0.013139832120054172,"{'colsample_bytree': 0.6754309968007212, 'eta': 0.49026001295664656, 'gamma': 0.22793043046060446, 'max_depth': 7, 'min_child_weight': 1.426090483114544, 'n_estimators': 342.82005023559236, 'reg_lambda': 0.8079532827343396, 'subsample': 0.9237254969594374}"
0.5520114838708781,0.00776650198259234,"{'colsample_bytree': 0.7563220249210586, 'eta': 0.24322664835929417, 'gamma': 0.026120564075173713, 'max_depth': 7, 'min_child_weight': 1.7464021436715913, 'n_estimators': 1291.0413351148293, 'reg_lambda': 0.8155772731156775, 'subsample': 0.9576610003028556}"
0.5520205174423026,0.010763824537581013,"{'colsample_bytree': 0.6064394332198753, 'eta': 0.4997615396764111, 'gamma': 0.4718420634903918, 'max_depth': 8, 'min_child_weight': 1.8027648568512131, 'n_estimators': 822.1163042091086, 'reg_lambda': 0.8535871336484739, 'subsample': 0.7307584347565581}"
0.552579595435235,0.011961750034330655,"{'colsample_bytree': 0.5485584234030774, 'eta': 0.45310748924648714, 'gamma': 0.23581321305104538, 'max_depth': 8, 'min_child_weight': 1.3059632762818147, 'n_estimators': 317.8709324757399, 'reg_lambda': 0.891278517431968, 'subsample': 0.9876194431081937}"
0.5528501203012045,0.018515986348871596,"{'colsample_bytree': 0.9338578866367115, 'eta': 0.47999891835836994, 'gamma': 0.1520343501423228, 'max_depth': 8, 'min_child_weight': 1.4671876446255154, 'n_estimators': 1145.8587298801583, 'reg_lambda': 0.7629739386263139, 'subsample': 0.9257052706444437}"
0.5528784236663812,0.010266236677901391,"{'colsample_bytree': 0.6689772000129426, 'eta': 0.31240250945271464, 'gamma': 0.13067539933905453, 'max_depth': 11, 'min_child_weight': 1.5700014674016283, 'n_estimators': 282.46515507972566, 'reg_lambda': 0.7723363650744087, 'subsample': 0.8307582756527647}"
0.5532006632097052,0.026806857565753784,"{'colsample_bytree': 0.9222526027731315, 'eta': 0.09199778299573862, 'gamma': 0.5445665441588154, 'max_depth': 12, 'min_child_weight': 1.8426712772944354, 'n_estimators': 885.6987281393054, 'reg_lambda': 0.6019624947056982, 'subsample': 0.513135526926169}"
0.553455247081807,0.014277246091465929,"{'colsample_bytree': 0.7271765969115341, 'eta': 0.3065195133615319, 'gamma': 0.4051845120201781, 'max_depth': 7, 'min_child_weight': 1.4585975908083215, 'n_estimators': 1570.2323197661594, 'reg_lambda': 0.7686606662840434, 'subsample': 0.7791050578149471}"
0.5537166454581669,0.02298909130186345,"{'colsample_bytree': 0.8119050404576408, 'eta': 0.27730406633873794, 'gamma': 0.2001073277934874, 'max_depth': 12, 'min_child_weight': 1.487700615539855, 'n_estimators': 737.056061731647, 'reg_lambda': 0.827459066674429, 'subsample': 0.8215844158105781}"
0.554016799911614,0.0065000544366895195,"{'colsample_bytree': 0.5153558667616855, 'eta': 0.3620638556689931, 'gamma': 0.18604316269268711, 'max_depth': 14, 'min_child_weight': 1.3012231608106604, 'n_estimators': 776.4351612983102, 'reg_lambda': 0.7443032804016874, 'subsample': 0.911128268990665}"
0.5540270550145927,0.010939562857540648,"{'colsample_bytree': 0.9677107548331518, 'eta': 0.1285051499658631, 'gamma': 0.4152410685154134, 'max_depth': 4, 'min_child_weight': 1.7539904695685453, 'n_estimators': 1516.7298315442388, 'reg_lambda': 0.7613374574331239, 'subsample': 0.7532518454690942}"
