mlog_loss,mstd,accuracy,params
1.4020944,0.05962224501530801,0.3826234,"{'colsample_bytree': 0.44441365494711693, 'eta': 0.00010818643375285191, 'gamma': 0.026033538585964466, 'max_depth': 15, 'min_child_weight': 1.0190311682264568, 'n_estimators': 1446.7153250216572, 'reg_lambda': 0.6830987510822348, 'subsample': 0.997155510447948}"
1.3908674,0.06283129115505187,0.3820558,"{'colsample_bytree': 0.5018618124846997, 'eta': 0.00011356921483441067, 'gamma': 0.19954504082164048, 'max_depth': 14, 'min_child_weight': 1.023296200144625, 'n_estimators': 2462.1943622591216, 'reg_lambda': 0.7925250654125866, 'subsample': 0.9873018945270394}"
1.3821936000000001,0.0653002633094282,0.3860632,"{'colsample_bytree': 0.5632132510804485, 'eta': 0.00011757508498284365, 'gamma': 0.13213565993866738, 'max_depth': 11, 'min_child_weight': 1.120374643626052, 'n_estimators': 1645.6759786760092, 'reg_lambda': 0.7742230466165273, 'subsample': 0.9704336019848595}"
1.3685488,0.06915983549184285,0.3811946,"{'colsample_bytree': 0.5614514354209098, 'eta': 0.0001298382220196992, 'gamma': 0.21006636740528656, 'max_depth': 16, 'min_child_weight': 1.1804314179779702, 'n_estimators': 1856.112445984032, 'reg_lambda': 0.7469876096505834, 'subsample': 0.9529924893668216}"
1.3527611999999998,0.07366236487516516,0.38491739999999997,"{'colsample_bytree': 0.42466539892562394, 'eta': 0.0001476777089806482, 'gamma': 0.31218938337004093, 'max_depth': 13, 'min_child_weight': 1.0824282685509077, 'n_estimators': 3125.6722619198354, 'reg_lambda': 0.7183651468594382, 'subsample': 0.9828464100943552}"
1.3454012,0.07573467910143164,0.3860674,"{'colsample_bytree': 0.5251307010143473, 'eta': 0.00014511881719576208, 'gamma': 0.046269827044392836, 'max_depth': 12, 'min_child_weight': 1.1010812964024608, 'n_estimators': 2138.4032087590417, 'reg_lambda': 0.7081231428592297, 'subsample': 0.9897194314516093}"
1.3388182000000002,0.07758874928033824,0.3826294,"{'colsample_bytree': 0.5542903266189361, 'eta': 0.00015070446308840333, 'gamma': 0.33107450143019107, 'max_depth': 13, 'min_child_weight': 1.0846889257260863, 'n_estimators': 3302.6084103383505, 'reg_lambda': 0.752395979243717, 'subsample': 0.9683641168093085}"
1.3228346,0.08212458127790281,0.3880696,"{'colsample_bytree': 0.48124217581412676, 'eta': 0.00016776280635385707, 'gamma': 0.07017558437436294, 'max_depth': 11, 'min_child_weight': 1.0382910298945787, 'n_estimators': 1841.118217865535, 'reg_lambda': 0.7374850882692541, 'subsample': 0.9662682328031389}"
1.3168342,0.08377168105818475,0.382052,"{'colsample_bytree': 0.5135300143485546, 'eta': 0.0001696500520543473, 'gamma': 0.13368531480101464, 'max_depth': 13, 'min_child_weight': 1.0887586942838272, 'n_estimators': 1845.6729922350412, 'reg_lambda': 0.7490710658631686, 'subsample': 0.9224838078240952}"
1.2712934,0.09648988574186673,0.38434519999999994,"{'colsample_bytree': 0.524009630446629, 'eta': 0.00020957057230640785, 'gamma': 0.11551537184955353, 'max_depth': 13, 'min_child_weight': 1.0831995492038988, 'n_estimators': 1703.619875669824, 'reg_lambda': 0.7891465024023098, 'subsample': 0.9476823135093563}"
1.2297482,0.10799952081176627,0.383194,"{'colsample_bytree': 0.43873785019290734, 'eta': 0.00025524693476913795, 'gamma': 0.14427344032078723, 'max_depth': 12, 'min_child_weight': 1.0338078774811235, 'n_estimators': 1778.4848878600712, 'reg_lambda': 0.6977191168040162, 'subsample': 0.9783330064725584}"
1.1931547999999998,0.11793939523193983,0.3811926,"{'colsample_bytree': 0.49500336705716075, 'eta': 0.0003022837457385653, 'gamma': 0.0184368531545597, 'max_depth': 13, 'min_child_weight': 1.081700937567078, 'n_estimators': 3467.9714190820323, 'reg_lambda': 0.794370694642495, 'subsample': 0.9601733277398267}"
1.1242252,0.13609286385510846,0.3837714,"{'colsample_bytree': 0.44154016448839484, 'eta': 0.0004030174709493588, 'gamma': 0.060441916834515344, 'max_depth': 11, 'min_child_weight': 1.0769245008787094, 'n_estimators': 1796.7333981726133, 'reg_lambda': 0.6770692291422494, 'subsample': 0.9760005759549913}"
1.0609688,0.15159639288565063,0.3837692,"{'colsample_bytree': 0.46772556606707505, 'eta': 0.0005349231243817782, 'gamma': 0.270025627166008, 'max_depth': 11, 'min_child_weight': 1.068523554762256, 'n_estimators': 1733.5086484349272, 'reg_lambda': 0.636672091731159, 'subsample': 0.9867475231166383}"
1.058589,0.1522820264598119,0.3763216,"{'colsample_bytree': 0.5183704399290436, 'eta': 0.0005334646558215594, 'gamma': 0.2655961422728856, 'max_depth': 13, 'min_child_weight': 1.1015440947584314, 'n_estimators': 1754.1092252046342, 'reg_lambda': 0.7583736231600108, 'subsample': 0.9196460889169105}"
1.0446819999999999,0.15537365277436563,0.38405880000000003,"{'colsample_bytree': 0.4863475880639555, 'eta': 0.0005872396185756237, 'gamma': 0.2127080320969611, 'max_depth': 11, 'min_child_weight': 1.0491231724263563, 'n_estimators': 3239.294839627451, 'reg_lambda': 0.7949394964501674, 'subsample': 0.9727858219785243}"
1.0365148,0.15709608538010433,0.3809072,"{'colsample_bytree': 0.42051822325493193, 'eta': 0.0006197424270466622, 'gamma': 0.10205596012998608, 'max_depth': 14, 'min_child_weight': 1.0657982124019947, 'n_estimators': 1001.4592245907438, 'reg_lambda': 0.6741835907549945, 'subsample': 0.9995271411255996}"
