accuracy,std,params
0.5118741063223133,0.013453607247424637,"{'min_child_weight': 1.6496469106386922, 'reg_lambda': 0.8199881624752628, 'eta': 0.2650953292225731, 'gamma': 0.0905475248725452, 'max_depth': 5, 'colsample_bytree': 0.8028195917102771, 'subsample': 0.45041799851097664, 'n_estimators': 772.7302075003504}"
0.5119258151538888,0.020638160084820886,"{'min_child_weight': 1.6763923652639217, 'reg_lambda': 0.8345391841746097, 'eta': 0.4083597183487436, 'gamma': 0.49590213369411856, 'max_depth': 8, 'colsample_bytree': 0.762366236252591, 'subsample': 0.46557706686966915, 'n_estimators': 861.0538432660527}"
0.5121737873351628,0.004739147585619926,"{'min_child_weight': 1.383351685893168, 'reg_lambda': 0.9042735597445176, 'eta': 0.38978154467617876, 'gamma': 0.05424027489726384, 'max_depth': 7, 'colsample_bytree': 0.7569622152115322, 'subsample': 0.42394468078898095, 'n_estimators': 369.2624261047155}"
0.5130379023638394,0.01896502018478611,"{'min_child_weight': 1.4267176194623306, 'reg_lambda': 0.5851773572045617, 'eta': 0.4309689069519242, 'gamma': 0.22682364194462934, 'max_depth': 7, 'colsample_bytree': 0.9718923056969768, 'subsample': 0.43246970665186635, 'n_estimators': 118.22530340521195}"
0.513326885405322,0.011420525951795692,"{'min_child_weight': 1.522725656727727, 'reg_lambda': 0.7033786022649373, 'eta': 0.4780874988772312, 'gamma': 0.3171585040164821, 'max_depth': 12, 'colsample_bytree': 0.8481863212986311, 'subsample': 0.5477570309362644, 'n_estimators': 1217.271877564093}"
0.5164627422075512,0.02247264455997379,"{'min_child_weight': 1.4346501247423535, 'reg_lambda': 0.8134492771586358, 'eta': 0.32609432629796015, 'gamma': 0.10733590441742855, 'max_depth': 7, 'colsample_bytree': 0.5603863325904199, 'subsample': 0.45310355276231257, 'n_estimators': 1218.34196947873}"
0.5184964344899423,0.008535397075401841,"{'min_child_weight': 1.8536943193400175, 'reg_lambda': 0.5989486529265328, 'eta': 0.40548211755011987, 'gamma': 0.12121562018800633, 'max_depth': 8, 'colsample_bytree': 0.5238246222799211, 'subsample': 0.6397894946248298, 'n_estimators': 830.2847535246852}"
0.5193696183672272,0.021788787797113206,"{'min_child_weight': 1.5907684432672269, 'reg_lambda': 0.7421323439747116, 'eta': 0.31461234524033843, 'gamma': 0.002417815909019183, 'max_depth': 8, 'colsample_bytree': 0.895988801375287, 'subsample': 0.487488966503313, 'n_estimators': 581.9717340989647}"
0.5205062584565927,0.007625642264753527,"{'min_child_weight': 1.641706259645551, 'reg_lambda': 0.874895144860517, 'eta': 0.47644409644480923, 'gamma': 0.1830203011150792, 'max_depth': 11, 'colsample_bytree': 0.7482495604413374, 'subsample': 0.7117184850227908, 'n_estimators': 806.6427414855393}"
0.5210703472879437,0.01252566812570756,"{'min_child_weight': 1.4682312367449781, 'reg_lambda': 0.7392809459902796, 'eta': 0.3654031219745389, 'gamma': 0.4710642642826646, 'max_depth': 9, 'colsample_bytree': 0.8355284678279602, 'subsample': 0.6179740635603413, 'n_estimators': 1131.388654602394}"
0.52219182971108,0.015333011453311797,"{'min_child_weight': 1.9322951328017972, 'reg_lambda': 0.6755398924610826, 'eta': 0.3972504214322291, 'gamma': 0.06583761140910357, 'max_depth': 12, 'colsample_bytree': 0.7346257247930714, 'subsample': 0.636787128254193, 'n_estimators': 322.6451572548347}"
0.5233568178730061,0.007268473274056134,"{'min_child_weight': 1.871209971125861, 'reg_lambda': 0.7276092596439453, 'eta': 0.45368453913417006, 'gamma': 0.4256469484203628, 'max_depth': 6, 'colsample_bytree': 0.5418870727350533, 'subsample': 0.7405849212831763, 'n_estimators': 526.1308799608861}"
0.5245065930700639,0.019021211936575643,"{'min_child_weight': 1.4997253782607063, 'reg_lambda': 0.6531898665242324, 'eta': 0.33638220833855226, 'gamma': 0.0887481211437073, 'max_depth': 12, 'colsample_bytree': 0.7169256563071839, 'subsample': 0.5234750931372989, 'n_estimators': 407.32277784207605}"
0.5245087215209054,0.011312814349007768,"{'min_child_weight': 1.4413044789810443, 'reg_lambda': 0.9155375829703634, 'eta': 0.44338957377788446, 'gamma': 0.5186250753847059, 'max_depth': 6, 'colsample_bytree': 0.6030122387664102, 'subsample': 0.7024427866079976, 'n_estimators': 166.2208309519017}"
0.5253945423388544,0.02187470852423183,"{'min_child_weight': 1.6006055455854231, 'reg_lambda': 0.7488798683531814, 'eta': 0.4977372054962351, 'gamma': 0.32165534560586756, 'max_depth': 12, 'colsample_bytree': 0.9920158403388191, 'subsample': 0.7691188502221393, 'n_estimators': 545.5791083737438}"
0.5256556543125444,0.019048039316837462,"{'min_child_weight': 1.7176659762010917, 'reg_lambda': 0.7938728569221851, 'eta': 0.33364186868863077, 'gamma': 0.16297006984705076, 'max_depth': 11, 'colsample_bytree': 0.7563082359421939, 'subsample': 0.4016634126558958, 'n_estimators': 703.4284500997763}"
0.5279516813422384,0.01824668853028248,"{'min_child_weight': 1.5230847698668624, 'reg_lambda': 0.7013384820239843, 'eta': 0.4155288864314187, 'gamma': 0.10819842627131025, 'max_depth': 14, 'colsample_bytree': 0.7042745456367784, 'subsample': 0.6440596857781462, 'n_estimators': 199.12674413195532}"
0.5287841348352017,0.018020204428632447,"{'min_child_weight': 1.5550956442849393, 'reg_lambda': 0.8814633299298343, 'eta': 0.31956319974826963, 'gamma': 0.047477447213649035, 'max_depth': 11, 'colsample_bytree': 0.8211532405751462, 'subsample': 0.5598596447009239, 'n_estimators': 568.524609570868}"
0.5291105007019761,0.014295189650997915,"{'min_child_weight': 1.7048633578547772, 'reg_lambda': 0.9875193244019708, 'eta': 0.4626265643848856, 'gamma': 0.17692657388155214, 'max_depth': 4, 'colsample_bytree': 0.7197972452092513, 'subsample': 0.8882878856221333, 'n_estimators': 448.30612675932423}"
0.5305111445828088,0.012686485596011819,"{'min_child_weight': 1.3434826554713564, 'reg_lambda': 0.8611562248227828, 'eta': 0.27413919579784435, 'gamma': 0.3891667499478862, 'max_depth': 10, 'colsample_bytree': 0.618890091595079, 'subsample': 0.5230331750714448, 'n_estimators': 360.60439490068524}"
0.5305550460592372,0.017859478586222437,"{'min_child_weight': 1.8801134105999493, 'reg_lambda': 0.594919711303568, 'eta': 0.31002390442840455, 'gamma': 0.28475130325665937, 'max_depth': 5, 'colsample_bytree': 0.8422872952976823, 'subsample': 0.6491041081355441, 'n_estimators': 468.35391343372874}"
0.5308153381860454,0.015056234900299613,"{'min_child_weight': 1.432132670230423, 'reg_lambda': 0.9999799657345065, 'eta': 0.3811743003181598, 'gamma': 0.3655960803616843, 'max_depth': 4, 'colsample_bytree': 0.6633821027949626, 'subsample': 0.7331679077834798, 'n_estimators': 1311.2845291172807}"
0.5308174148821667,0.012248221673403645,"{'min_child_weight': 1.3639785225748513, 'reg_lambda': 0.8778942815443799, 'eta': 0.45187247651748347, 'gamma': 0.4116065351846985, 'max_depth': 5, 'colsample_bytree': 0.5915097818771629, 'subsample': 0.7355368809318814, 'n_estimators': 628.6500639977539}"
0.5313826864442197,0.013243811618443147,"{'min_child_weight': 1.6689022467364927, 'reg_lambda': 0.5915200890880395, 'eta': 0.35997122267516085, 'gamma': 0.036891561020868956, 'max_depth': 7, 'colsample_bytree': 0.8358312358709201, 'subsample': 0.9773700458608063, 'n_estimators': 419.08967662544933}"
0.5316581091482141,0.00963512717631677,"{'min_child_weight': 1.2371047933896038, 'reg_lambda': 0.914954685380491, 'eta': 0.491070286930568, 'gamma': 0.2744374567662734, 'max_depth': 9, 'colsample_bytree': 0.5989272755405561, 'subsample': 0.6502288749578682, 'n_estimators': 244.10179237239228}"
0.5319610742333134,0.013094443666993248,"{'min_child_weight': 1.3542062414492888, 'reg_lambda': 0.8648009342767208, 'eta': 0.2548081039506921, 'gamma': 0.1054700101977177, 'max_depth': 5, 'colsample_bytree': 0.8430290290780804, 'subsample': 0.9983113981713508, 'n_estimators': 953.490609539978}"
0.5322488122183694,0.005230628560792845,"{'min_child_weight': 1.750052435633907, 'reg_lambda': 0.7412375978977841, 'eta': 0.33549610432154225, 'gamma': 0.2883006803314418, 'max_depth': 12, 'colsample_bytree': 0.5687602306766757, 'subsample': 0.7259083569044488, 'n_estimators': 463.3533300061496}"
0.5328268348217827,0.012506539146407893,"{'min_child_weight': 1.563101800681322, 'reg_lambda': 0.6770233260376777, 'eta': 0.21168897601940784, 'gamma': 0.23325978832080432, 'max_depth': 7, 'colsample_bytree': 0.7222101410256638, 'subsample': 0.6087548204886368, 'n_estimators': 385.45512261544576}"
0.5331108823449421,0.008340983152995703,"{'min_child_weight': 1.5683719747384957, 'reg_lambda': 0.8845465078899938, 'eta': 0.07928180631385477, 'gamma': 0.08524181838201544, 'max_depth': 4, 'colsample_bytree': 0.5665076707813566, 'subsample': 0.653057926660316, 'n_estimators': 1056.4116812321279}"
0.5336786157292485,0.01665051316811325,"{'min_child_weight': 1.3944355843178935, 'reg_lambda': 0.7350707922815121, 'eta': 0.14020306801560328, 'gamma': 0.5358844597124774, 'max_depth': 6, 'colsample_bytree': 0.7403330152167593, 'subsample': 0.407817525775916, 'n_estimators': 1098.6573612021425}"
0.5339823536317343,0.02289049938448274,"{'min_child_weight': 1.6327334370087918, 'reg_lambda': 0.7436743953511393, 'eta': 0.43593110315718003, 'gamma': 0.0023588458648155174, 'max_depth': 12, 'colsample_bytree': 0.9609422822606892, 'subsample': 0.7633534456686807, 'n_estimators': 976.044297472767}"
0.5348214540724583,0.010968262118713237,"{'min_child_weight': 1.8978847032636295, 'reg_lambda': 0.8527022006115305, 'eta': 0.4348904467570427, 'gamma': 0.00804389083158559, 'max_depth': 9, 'colsample_bytree': 0.9065880192696444, 'subsample': 0.7743453601001768, 'n_estimators': 920.969701522027}"
0.5348243106130516,0.01995143838860161,"{'min_child_weight': 1.7383790757656008, 'reg_lambda': 0.551483736737827, 'eta': 0.4226491619492101, 'gamma': 0.3981685787969437, 'max_depth': 6, 'colsample_bytree': 0.7660518457516869, 'subsample': 0.8536320233301452, 'n_estimators': 391.3941039452488}"
0.5350772135469218,0.025820781861448077,"{'min_child_weight': 1.8058808987135648, 'reg_lambda': 0.5717830601411251, 'eta': 0.3735894812168673, 'gamma': 0.554771501483443, 'max_depth': 7, 'colsample_bytree': 0.8844413246660541, 'subsample': 0.8999604182211577, 'n_estimators': 680.723827047776}"
0.5351207946058067,0.018869159728275204,"{'min_child_weight': 1.4244303465606172, 'reg_lambda': 0.8768350832549491, 'eta': 0.42586706532194485, 'gamma': 0.0007345947304968348, 'max_depth': 8, 'colsample_bytree': 0.8108169651093834, 'subsample': 0.7966787036533597, 'n_estimators': 613.3935095920904}"
0.5353797299178539,0.015712844883256236,"{'min_child_weight': 1.409945154204756, 'reg_lambda': 0.5594315679314703, 'eta': 0.4077244526571725, 'gamma': 0.37186584870278705, 'max_depth': 12, 'colsample_bytree': 0.6926151885842413, 'subsample': 0.7814717872358679, 'n_estimators': 1436.5652030148121}"
0.5356679684528013,0.013550603082597963,"{'min_child_weight': 1.8813250884342696, 'reg_lambda': 0.801199648227012, 'eta': 0.15762245636671993, 'gamma': 0.3051522007260617, 'max_depth': 4, 'colsample_bytree': 0.8401673746021273, 'subsample': 0.7645921261938395, 'n_estimators': 661.2696809391038}"
0.5356720205767102,0.010311215663723282,"{'min_child_weight': 1.7043920212442578, 'reg_lambda': 0.7839454591719367, 'eta': 0.19598941737315062, 'gamma': 0.17937246377052066, 'max_depth': 12, 'colsample_bytree': 0.7299348296134968, 'subsample': 0.48019327782684296, 'n_estimators': 1012.4145697719674}"
0.5356822603227058,0.01611797044010642,"{'min_child_weight': 1.6171682175856144, 'reg_lambda': 0.5760856138399777, 'eta': 0.36136423410657426, 'gamma': 0.2156685065644335, 'max_depth': 12, 'colsample_bytree': 0.762263457721857, 'subsample': 0.8004926938208026, 'n_estimators': 492.19694943353613}"
