log_loss,accuracy,std,max_logloss,min_min_logloss,params
1.5681039373837666,0.5388610191454726,0.03938180692446104,1.6072965170257028,1.4901787438641159,"{'eta': 0.1888892927028437, 'max_depth': 5, 'n_estimators': 1576.5089818907825}"
1.5363530351787078,0.5405937746922236,0.0882603712394031,1.6607965565600757,1.4010648453793648,"{'eta': 0.15383310745114562, 'max_depth': 4, 'n_estimators': 1522.7900423289345}"
1.4583904777694798,0.5505605117265755,0.06899201168279438,1.554906000725139,1.3516174873570737,"{'eta': 0.18827757851440752, 'max_depth': 6, 'n_estimators': 823.1434147247727}"
1.4146229943939683,0.5563677000248922,0.04628555645985859,1.5167416776477,1.3678192585988633,"{'eta': 0.16882886137501482, 'max_depth': 12, 'n_estimators': 1588.216088488395}"
1.3950868747808118,0.5574526970398007,0.10253313660681596,1.582505318170449,1.249901813886594,"{'eta': 0.18278756858579412, 'max_depth': 8, 'n_estimators': 590.121280788245}"
1.394309910198737,0.5471829714860772,0.053728381722282816,1.4721163176611416,1.2898555459394692,"{'eta': 0.11950595503959027, 'max_depth': 6, 'n_estimators': 955.8519444105489}"
1.37204219752022,0.5540528256369719,0.07027752838880183,1.5281143142210785,1.3034410514174746,"{'eta': 0.12290235776345106, 'max_depth': 8, 'n_estimators': 861.7000522433271}"
1.3697220967377512,0.5486196163793996,0.049454663717037536,1.4346427556730341,1.302738359652568,"{'eta': 0.11999635616214593, 'max_depth': 8, 'n_estimators': 841.7864338587684}"
1.3612971308888557,0.550881123570346,0.05403469276147929,1.4333252709949673,1.2653531664933544,"{'eta': 0.08273507343154238, 'max_depth': 6, 'n_estimators': 1159.6649047719193}"
1.355716851138633,0.5537543996151113,0.057229819246575254,1.4478677555833666,1.2863734318915918,"{'eta': 0.10817498951403812, 'max_depth': 8, 'n_estimators': 922.0348424903648}"
1.3390875609178146,0.5618129750396802,0.06896469563046974,1.4373738969773326,1.2117937448449492,"{'eta': 0.06122176760233231, 'max_depth': 10, 'n_estimators': 1474.5161801685877}"
1.3310128101248977,0.5466063549680767,0.053202696905872024,1.4099057175863676,1.259934790935833,"{'eta': 0.08364469535541773, 'max_depth': 4, 'n_estimators': 1058.7356787027702}"
1.3289721221994049,0.5506114942927273,0.06522522408315214,1.416735069469796,1.228605930320942,"{'eta': 0.07407493769271538, 'max_depth': 8, 'n_estimators': 1144.703462773935}"
1.3189376295426367,0.5588806703371724,0.043791404016331074,1.3947385996205266,1.2406960564601364,"{'eta': 0.12662849996366704, 'max_depth': 7, 'n_estimators': 443.08870395620016}"
1.3180663927999994,0.5612089371819636,0.060921364380008405,1.396101431120974,1.207690196988778,"{'eta': 0.13998140572971826, 'max_depth': 8, 'n_estimators': 472.7006302620083}"
1.299204526473434,0.5615330325092154,0.06307520946295554,1.3829375393621293,1.2135158157991752,"{'eta': 0.06918095693539206, 'max_depth': 10, 'n_estimators': 998.148130020202}"
1.2949578938317412,0.5583298891884015,0.07838365244508216,1.4520465579929516,1.1847134252118805,"{'eta': 0.13521694612148297, 'max_depth': 9, 'n_estimators': 388.96252588466035}"
1.291224417884241,0.5548690645734714,0.07254982533106917,1.3948013003121722,1.1957501952520508,"{'eta': 0.054770765632560565, 'max_depth': 9, 'n_estimators': 1101.3479459099547}"
1.278024589632643,0.556901929411712,0.05427901459104983,1.361712365278443,1.2251122560738736,"{'eta': 0.04238208173620305, 'max_depth': 12, 'n_estimators': 1501.6290866711447}"
1.2767202001658895,0.5589346424809866,0.05542131185056886,1.387554613434191,1.2079965121045304,"{'eta': 0.09538616551683707, 'max_depth': 11, 'n_estimators': 511.90138454772625}"
1.263652109863892,0.5689707835132313,0.055407290542438516,1.3526620993118268,1.177963814536771,"{'eta': 0.09973781934359784, 'max_depth': 11, 'n_estimators': 474.6199457995193}"
1.2531770907627846,0.5649581614863963,0.0607678808366029,1.3342962391749025,1.1686273745323907,"{'eta': 0.040011382888101944, 'max_depth': 11, 'n_estimators': 1200.6800657384088}"
1.248869944971437,0.5614653119744988,0.05156480909641636,1.3277874445873705,1.1694640307205666,"{'eta': 0.029704014586568475, 'max_depth': 10, 'n_estimators': 1344.558947886022}"
1.236297521183733,0.5568801482840031,0.03902371194060844,1.2953432060610504,1.1803070143768395,"{'eta': 0.04141498941539487, 'max_depth': 10, 'n_estimators': 883.5354979744603}"
1.2339484052198022,0.5626455060249052,0.036097328222398944,1.2880801041414962,1.163042046051937,"{'eta': 0.05312647617135659, 'max_depth': 12, 'n_estimators': 693.3230277135402}"
1.2227145237366546,0.5554617938045234,0.039713051112479,1.271332355626638,1.1582646896000428,"{'eta': 0.02660089168593865, 'max_depth': 12, 'n_estimators': 1259.2502182765788}"
1.212726617236455,0.5462925176773068,0.06678046031874768,1.3142064274171832,1.0970946157091188,"{'eta': 0.029709949444197598, 'max_depth': 5, 'n_estimators': 1414.8674452486352}"
1.1688005920349056,0.5634922597170692,0.03628544136086012,1.2380354659085773,1.134006258780997,"{'eta': 0.017791322206293682, 'max_depth': 12, 'n_estimators': 1270.3622793235593}"
1.1478762121502906,0.5689134174569992,0.04053573574115202,1.2010223248087049,1.0584269358260354,"{'eta': 0.013097872056668614, 'max_depth': 9, 'n_estimators': 1547.385206722629}"
1.104194394243138,0.5597504352488,0.025702881632624238,1.1309759123924088,1.0522912201325756,"{'eta': 0.009381764118401885, 'max_depth': 10, 'n_estimators': 1353.9365718997526}"
1.0764838074536018,0.5660947595349789,0.04274670593484412,1.1623571087797004,1.0149071817389377,"{'eta': 0.008017731583357987, 'max_depth': 9, 'n_estimators': 1405.8360499099779}"
